;FO;Ob ot t 2017;ind price 2017;izm sr 2017;ind phis 2016;sum ub 2017
Белгородская область;ЦФО;629093;93.4;100.1;103.4;3115
Брянская область;ЦФО;191019;102.1;98.1;100.3;5276
Владимирская область;ЦФО;406484;103.2;98.9;100.6;9504
Воронежская область;ЦФО;422944;96.4;100.7;101.4;5755
Ивановская область;ЦФО;133335;104.2;102.1;96.4;1510
Калужская область;ЦФО;672706;101.5;99.2;102.7;9788
Костромская область;ЦФО;118263;102.1;99.2;96.8;2460
Курская область;ЦФО;176100;95.6;99.8;103.9;4760
Липецкая область;ЦФО;628043;97.6;100.1;101.6;6863
Московская область;ЦФО;2328071;98.8;102.2;103.3;31500
Орловская область;ЦФО;104211;100.3;97.3;97.9;4027
Рязанская область;ЦФО;277309;103.5;101.1;99.1;2226
Смоленская область;ЦФО;192044;103.5;100.5;97.7;7362
Тамбовская область;ЦФО;134329;91.8;98;95.1;2090
Тверская область;ЦФО;246185;101.6;100.3;101.5;9536
Тульская область;ЦФО;629921;107.3;98.4;104.1;9647
Ярославская область;ЦФО;338016;105.1;99.1;101.2;2651
г. Москва;ЦФО;5589313;107.1;100.4;101;72644
Республика Карелия ;СЗФО;93268;104.3;96.9;100.1;3126
Республика Коми;СЗФО;170537;107;97.2;98.5;1011
Ненецкий автономный округ;СЗФО;21434;103.4;98.4;108.6;98
Архангельская область ;СЗФО;289235;106.1;99.5;99.2;2116
Вологодская область;СЗФО;572244;100.6;97.1;100.1;1839
Калининградская область;СЗФО;464119;105.4;100.1;102.2;3399
Ленинградская область;СЗФО;909008;106.5;96.4;101.8;19630
Мурманская область;СЗФО;160154;107.8;96.7;100.6;726
Новгородская область;СЗФО;181982;98.1;98.2;101.6;2387
Псковская область;СЗФО;94887;99.4;96.3;100.7;1257
г. Санкт-Петербург;СЗФО;2221317;99.5;100.2;102.3;53939
Республика Адыгея;ЮФО;47823;97.3;100.7;101.9;127
Республика Калмыкия;ЮФО;1235;94.5;99;98.1;22
Республика Крым;ЮФО;78647;102.7;101.8;106;377
Краснодарский край;ЮФО;923476;97.2;101.8;100.1;9457
Астраханская область;ЮФО;53839;129.9;102.9;102.8;3238
Волгоградская область;ЮФО;724306;110.9;98;98.6;55211
Ростовская область;ЮФО;772905;98.8;99.5;103.2;17543
г. Севастополь;ЮФО;13310;100.1;106.3;107.7;68
Республика Дагестан;СКФО;40558;103.5;102.3;101.4;1712
Республика Ингушетия;СКФО;1865;110.9;110.5;97.2;
Кабардино-Балкарская Республика;СКФО;27688;90.9;101;102.5;382
Карачаево-Черкесская Республика;СКФО;35194;101.3;98.5;104.3;1173
Республика Северная Осетия – Алания;СКФО;27588;124.3;100.9;95.6;152
Чеченская Республика;СКФО;10186;106.8;104.8;104.4;228
Ставропольский край;СКФО;262211;89.5;99.3;100.4;3366
Республика Башкортостан;ПФО;1082923;109.6;98.4;100.5;9942
Республика Марий Эл;ПФО;152086;99.5;96.9;94.7;2365
Республика Мордовия;ПФО;167180;96.4;99.9;103.6;72232
Республика Татарстан;ПФО;1596330;105.5;99.7;101;18486
Удмуртская Республика;ПФО;321066;99.2;97.8;101.7;6685
Чувашская Республика;ПФО;172565;103.5;96.7;100.6;360368
Пермский край;ПФО;933960;108.9;96.7;96.7;14478
Кировская область;ПФО;199822;104.6;99.3;99.6;2449
Нижегородская область;ПФО;1237833;108.5;100.8;103;8690
Оренбургская область;ПФО;304238;117.4;99.1;99.1;5510
Пензенская область;ПФО;195823;99.1;95.9;97;2547
Самарская область;ПФО;969528;104.8;96.6;97.8;31287
Саратовская область;ПФО;352459;102.2;95.2;100.9;4368
Ульяновская область;ПФО;256480;102.5;98.9;101.8;10969
Курганская область;УФО;96670;105.4;97.2;101.8;178477
Свердловская область;УФО;1734335;100.8;98.8;101.9;13002
Ханты-Мансийский автономный округ – Югра;УФО;534441;114.6;105.1;97.6;877
Ямало-Ненецкий автономный округ;УФО;346799;100.1;104.3;105.6;77
Тюменская область ;УФО;687373;101.2;95.6;100.6;1724
Челябинская область;УФО;1360874;108;101.1;96.9;10843
Республика Алтай;СФО;4995;98.4;98.1;103.1;141
Республика Бурятия;СФО;59164;83.6;97.8;93.5;438
Республика Тыва;СФО;370;100.1;95.7;101.1;4
Республика Хакасия;СФО;87250;110;101;101.5;743
Алтайский край;СФО;307970;100.6;99.1;99;5083
Забайкальский край;СФО;26309;99.1;98.5;100.1;422
Красноярский край;СФО;990878;104.5;101.4;101.5;3682
Иркутская область;СФО;481866;108;97.2;102.8;3059
Кемеровская область;СФО;545842;113.4;98.3;97;24551
Новосибирская область;СФО;459489;104.2;100.1;101.1;4028
Омская область;СФО;791301;110.4;98.1;98.5;3168
Томская область;СФО;155757;108.4;101.7;100.9;3000
Республика Саха (Якутия);ДФО;34852;102.2;101.8;104;521
Камчатский край;ДФО;99560;103.1;99.5;103.2;545
Приморский край;ДФО;229130;101.7;98.8;97.7;15385
Хабаровский край;ДФО;244085;98.8;99.6;100.1;9622
Амурская область;ДФО;31095;95.6;98.8;98.6;259
Магаданская область;ДФО;4467;101.4;101.1;98.6;
Сахалинская область;ДФО;51842;101.5;99.4;100;1847
Еврейская автономная область;ДФО;6743;101.2;96.3;98.3;56
Чукотский автономный округ;ДФО;1023;111.7;105.5;95.8;18
